inst_instid,indicid,name,abbreviation,unit_measure,description
IMF,NGDP_RPCH,Real GDP growth,NGDP_RPCH,Annual percent change,"Gross domestic product is the most commonly used single measure of a country's overall economic activity. It represents the total value at constant prices of final goods and services produced within a country during a specified time period, such as one year."
IMF,NGDPD,"GDP, current prices",NGDPD,Billions of U.S. dollars,"Gross domestic product is the most commonly used single measure of a country's overall economic activity. It represents the total value at current prices of final goods and services produced within a country during a specified time period, such as one year."
IMF,NGDPDPC,"GDP per capita, current prices
",NGDPDPC,U.S. dollars per capita,Gross domestic product is the most commonly used single measure of a country's overall economic activity. It represents the total value at current prices of final goods and services produced within a country during a specified time period divided by the average population for the same one year.
IMF,PPPGDP,"GDP, current prices",PPPGDP,Purchasing power parity; billions of international dollars,"Gross domestic product is the most commonly used single measure of a country's overall economic activity. It represents the total value in PPP terms of final goods and services produced within a country during a specified time period.

Purchasing Power Parity (PPP) is a theory which relates changes in the nominal exchange rate between two countries currencies to changes in the countries' price levels. More information on PPP methodology can be found on the World Economic Outlook FAQ - <a href=""http://www.imf.org/external/pubs/ft/weo/faq.htm#q4d"" target=""new"">click here</a>"
IMF,PCPIPCH,"Inflation rate, average consumer prices",PCPIPCH,Annual percent change,"The average consumer price index (CPI) is a measure of a country's average level of prices based on the cost of a typical basket of consumer goods and services in a given period. The rate of inflation is the percent change in the average CPI.
 
"
IMF,PCPIEPCH,"Inflation rate, end of period consumer prices",PCPIEPCH,Annual percent change,"The end of period consumer price index (CPI) is a measure of a country's general level of prices based on the cost of a typical basket of consumer goods and services at the end of a given period. The rate of inflation is the percent change in the end of period CPI.
 
"
IMF,LP,Population,LP,Millions of people,"Total population of a country, region, or group of countries."
IMF,BCA,"Current account balance
U.S. dollars",BCA,Billions of U.S. dollars,"The current account is the record of all transactions in the balance of payments covering the exports and imports of goods and services, payments of income, and current transfers between residents of a country and nonresidents."
IMF,BCA_NGDPD,"Current account balance, percent of GDP",BCA_NGDPD,Percent of GDP,"The current account is the record of all transactions in the balance of payments covering the exports and imports of goods and services, payments of income, and current transfers between residents of a country and nonresidents."
IMF,LUR,Unemployment rate,LUR,Percent,The number of unemployed persons as a percentage of the total labor force.
IMF,GGXCNL_NGDP,General government net lending/borrowing,GGXCNL_NGDP,Percent of GDP,"Net lending (+)/ borrowing (–) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (–) is also equal to net acquisition of financial assets minus net incurrence of liabilities."
IMF,GGXWDG_NGDP,General government gross debt,GGXWDG_NGDP,Percent of GDP,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110)."
IMF,rev,"Government revenue, percent of GDP",rev,% of GDP,"Government revenue, percent of GDP"
IMF,exp,"Government expenditure, percent of GDP",exp,% of GDP,"Government expenditure, percent of GDP"
IMF,prim_exp,"Government primary expenditure, percent of GDP",prim_exp,% of GDP,"Government primary expenditure, percent of GDP"
IMF,ie,"Interest paid on public debt, percent of GDP",ie,% of GDP,"Interest paid on public debt, percent of GDP"
IMF,pb,"Government primary balance, percent of GDP",pb,% of GDP,"Government primary balance, percent of GDP"
IMF,d,"Gross public debt, percent of GDP",d,% of GDP,"Gross public debt, percent of GDP"
IMF,rgc,"Real GDP growth rate, percent",rgc,percent rate,"Real GDP growth rate, percent"
IMF,rltir,"Real long term government bond yield, percent",rltir,percent rate,"Real long term government bond yield, percent"
IMF,extensive,Extensive Margin,extensive,Index,Extensive margin of export diversification
IMF,GDP,Nominal GDP,GDP,Millions of US Dollars,
IMF,DEBT1,DEBT,DEBT1,% of GDP,"DEBT
<br/> Note: Median value reported for country groupings"
IMF,Privatedebt_all,"Private debt, all instruments",Privatedebt_all,Percent of GDP,"Total stock of debt liabilities issued by households and nonfinancial corporations, including all debt instruments, as a share of GDP."
IMF,HH_ALL,"Household debt, all instruments",HH_ALL,Percent of GDP,"Total stock of debt liabilities issued by households, including all debt instruments, as a share of GDP."
IMF,NFC_ALL,"Nonfinancial corporate debt, all instruments",NFC_ALL,Percent of GDP,"Total stock of debt liabilities issued by nonfinancial corporations, including all debt instruments, as a share of GDP."
IMF,PVD_LS,"Private debt, loans and debt securities",PVD_LS,Percent of GDP,Total stock of loans and debt securities issued by households and nonfinancial corporations as a share of GDP.
IMF,HH_LS,"Household debt, loans and debt securities",HH_LS,Percent of GDP,Total stock of loans and debt securities issued by households as a share of GDP.
IMF,NFC_LS,"Nonfinancial corporate debt, loans and debt securities",NFC_LS,Percent of GDP,Total stock of loans and debt securities issued by nonfinancial corporations as a share of GDP.
IMF,PS_DEBT_GDP,Public Sector Debt,PS_DEBT_GDP,Percent of GDP,Total stock of debt liabilities issued by the public sector as a share of GDP.
IMF,NFPS_DEBT_GDP,Nonfinancial Public Sector Debt,NFPS_DEBT_GDP,Percent of GDP,Total stock of debt liabilities issued by the nonfinancial public sector as a share of GDP. 
IMF,GG_DEBT_GDP,General Government Debt,GG_DEBT_GDP,Percent of GDP,Total stock of debt liabilities issued by the general government as a share of GDP. 
IMF,CG_DEBT_GDP,Central Government Debt,CG_DEBT_GDP,Percent of GDP,Total stock of debt liabilities issued by the central government as a share of GDP.
IMF,GGXCNL_G01_GDP_PT,Net lending/borrowing (also referred as overall balance),GGXCNL_G01_GDP_PT,% of GDP,"Defined as the difference between revenue and total expenditure, using the 2014 edition of the IMF’s Government Finance Statistics Manual (GFSM 2014). Does not include policy lending. For some countries, the overall balance continues to be based on GFSM 1986, which is defined as total revenue and grants minus total expenditure and net lending."
IMF,GGXONLB_G01_GDP_PT,Primary net lending/borrowing (also referred as primary balance),GGXONLB_G01_GDP_PT,% of GDP,Overall balance excluding net interest payment (interest expenditure minus interest revenue).
IMF,GGCB_G01_PGDP_PT,Cyclically adjusted balance,GGCB_G01_PGDP_PT,% of Potential GDP,"Difference between the overall balance and the automatic stabilizers; equivalently, an estimate of the fiscal balance that would apply under current policies if output were equal to potential."
IMF,GGCBP_G01_PGDP_PT,Cyclically adjusted primary balance,GGCBP_G01_PGDP_PT,% of Potential GDP,Cyclically adjusted balance excluding net interest payment (interest expenditure minus interest revenue).
IMF,GGR_G01_GDP_PT,Revenue,GGR_G01_GDP_PT,% of GDP,Revenue
IMF,G_X_G01_GDP_PT,Expenditure,G_X_G01_GDP_PT,% of GDP,Expenditure
IMF,G_XWDG_G01_GDP_PT,Gross debt position,G_XWDG_G01_GDP_PT,% of GDP,"All liabilities that require future payment of interest and/or principal by the debtor to the creditor. This includes debt liabilities in the form of special drawing rights, currency, and deposits; debt securities; loans; insurance, pension, and standardized guarantee schemes; and other accounts payable. (See the 2014 edition of the IMF’s Government Finance Statistics Manual and Public Sector Debt Statistics Manual). The term “public debt” is used in the Fiscal Monitor, for simplicity, as synonymous with gross debt of the general government, unless otherwise specified. (Strictly speaking, the term “public debt” refers to the debt of the public sector as a whole, which includes financial and nonfinancial public enterprises and the central bank.)"
IMF,GGXWDN_G01_GDP_PT,Net debt,GGXWDN_G01_GDP_PT,% of GDP,"Gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable. In some countries the reported net debt can deviate from this definition on the basis of available information and national fiscal accounting practices."
IMF,NGDP_R_PCH,Real GDP Growth,NGDP_R_PCH,Annual percent change,"Gross domestic product is the most commonly used single measure of a country's overall economic activity. It represents the total value at constant prices of final goods and services produced within a country during a specified time period, such as one year."
IMF,NGDPXO_RPCH,Real Non-Oil GDP Growth,NGDPXO_RPCH,Annual percent change,     
IMF,NGDPRPC_PCH,Real Per Capita GDP Growth,NGDPRPC_PCH,Annual percent change,      
IMF,NI_GDP,Total Investment (% of GDP),NI_GDP,Percent of GDP,    
