Country Code,Variable code,Variable description,Units
ARG,BSII,"Balance of primary income, value, balance of payments basis",National currency
ARG,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
ARG,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
ARG,CB,"Current account balance, value",National currency
ARG,CBD,"Current account balance, value in USD",USD
ARG,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
ARG,CBR,"Current account balance, residual item",National currency
ARG,CBRD,"Current account balance, residual item, USD",USD
ARG,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
ARG,CGV,"Government final consumption expenditure, volume",National currency
ARG,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
ARG,CPI,Consumer price index,Index
ARG,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
ARG,CPV,"Private final consumption expenditure, volume",National currency
ARG,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
ARG,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
ARG,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
ARG,EXCH,"Exchange rate, USD per National currency",Level
ARG,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
ARG,EXCHUD,"Exchange rate, National currency per USD",Level
ARG,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
ARG,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
ARG,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
ARG,FDD,"Final domestic expenditure, value",National currency
ARG,FDDV,"Final domestic expenditure, volume",National currency
ARG,GDP,"Gross domestic product, value, market prices",National currency
ARG,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
ARG,GDPV,"Gross domestic product, volume, market prices",National currency
ARG,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
ARG,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
ARG,IRCB,"Central bank, Key interest rates",Per cent
ARG,IT,"Gross fixed capital formation, total, value",National currency
ARG,ITISK,"Gross capital formation, current prices",National currency
ARG,ITISKV,"Gross capital formation, total, volume",National currency
ARG,ITV,"Gross fixed capital formation, total, volume",National currency
ARG,MGS,"Imports of goods and services, value, National Accounts basis",National currency
ARG,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
ARG,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
ARG,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
ARG,MPEN,"Import penetration, goods and services",Ratio
ARG,MSHA,"Share of value imports of good and services in world imports, USD",ratio
ARG,NTR,"Secondary income, net,  balance of payments basis",National currency
ARG,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
ARG,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
ARG,PCG,"Government final consumption expenditure, deflator",Index
ARG,PCP,"Private final consumption expenditure, deflator",Index
ARG,PGDP,"Gross domestic product, deflator, market prices",Index
ARG,PIT,"Gross total fixed capital formation, deflator",Index
ARG,PITISK,"Gross capital formation, deflator",Index
ARG,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
